Name,Location,Price,Cuisine,Longitude,Latitude,Award,GreenStar,FacilitiesAndServices,Stars,Country
Söl'ring Hof,"Rantum, Germany",4,"Modern Cuisine, Creative",8.2887697,54.8536822,2 Stars,0,"Car park,Garden or park,Great view,Interesting wine list",twoStar,Germany
Speisemeisterei,"Stuttgart, Germany",4,"Creative, Innovative",9.2137792,48.712699,2 Stars,0,"Car park,Terrace,Wheelchair access",twoStar,Germany
Steinheuers Restaurant,"Bad Neuenahr-Ahrweiler, Germany",4,"Classic French, Classic Cuisine",7.1642775,50.5509788,2 Stars,0,"Air conditioning,Car park,Interesting wine list",twoStar,Germany
Obendorfers Eisvogel,"Neunburg vorm Wald, Germany",4,"Creative, Contemporary",12.261695,49.338408,2 Stars,0,"Car park,Great view,Wheelchair access",twoStar,Germany
Meierei Dirk Luther,"Glücksburg, Germany",4,Classic Cuisine,9.4999203,54.8225486,2 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access",twoStar,Germany
CODA Dessert Dining,"Berlin, Germany",4,"Creative, Innovative",13.4274391,52.4900681,2 Stars,0,"Air conditioning,Counter dining",twoStar,Germany
Tim Raue,"Berlin, Germany",4,"German, Asian Influences",13.3933841,52.5070342,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access",twoStar,Germany
Vendôme,"Bergisch Gladbach, Germany",4,"Creative, Classic French",7.1604778,50.9665691,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access",twoStar,Germany
bianc,"Hamburg, Germany",4,"Mediterranean Cuisine, Creative",9.9943521,53.5430154,2 Stars,0,"Air conditioning,Interesting wine list",twoStar,Germany
L.A. Jordan,"Deidesheim, Germany",4,"Creative, Modern Cuisine",8.1850992,49.4076835,2 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
Horváth,"Berlin, Germany",4,Creative,13.420793,52.4963922,2 Stars,1,"Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
FACIL,"Berlin, Germany",4,"Creative, Contemporary",13.3737404,52.5090625,2 Stars,0,"Air conditioning,Credit cards not accepted,Interesting wine list,Terrace,Wheelchair access",twoStar,Germany
AUGUST,"Augsburg, Germany",4,Creative,10.9126019,48.3710103,2 Stars,0,"Car park,Garden or park,Terrace",twoStar,Germany
KOMU,"Munich, Germany",4,"Classic Cuisine, Modern Cuisine",11.5704952,48.1360691,2 Stars,0,Air conditioning,twoStar,Germany
Atelier,"Munich, Germany",4,"Creative French, International",11.5735681,48.1402487,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access",twoStar,Germany
etz,"Nuremberg, Germany",4,"Creative, Regional Cuisine",11.0537152,49.4575699,2 Stars,1,,twoStar,Germany
PAZ,"Tórshavn, Denmark",4,Creative,-6.775808,62.0101327,2 Stars,0,,twoStar,Denmark
Alchemist,"Copenhagen, Denmark",4,Creative,12.6140984,55.6943425,2 Stars,1,"Air conditioning,Car park,Interesting wine list,Wheelchair access",twoStar,Denmark
a|o|c,"Copenhagen, Denmark",4,Creative,12.5889875,55.6831927,2 Stars,0,Interesting wine list,twoStar,Denmark
Signum,"Mölnlycke, Sweden",4,Creative,12.1786546,57.675447,2 Stars,1,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Wheelchair access",twoStar,Sweden
Koan,"Copenhagen, Denmark",4,Creative,12.6001611,55.6954973,2 Stars,0,"Air conditioning,Interesting wine list,Wheelchair access",twoStar,Denmark
AIRA,"Stockholm, Sweden",4,"Modern Cuisine, Swedish",18.1237288,59.3207155,2 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access",twoStar,Sweden
Frederikshøj,"Aarhus, Denmark",4,Creative,10.2089264,56.124947,2 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list",twoStar,Denmark
